"product_id","product_handle","product_title","variant_id","variant_title","option1","option2","option3","sku","price_egp","compare_at_price_egp","available","featured_image"
7735876911152,"libre-desire","Libre Desire",42389314175024,"50 ml","50 ml",,,"P086","800.00","0.00",true,
7735876911152,"libre-desire","Libre Desire",42389314207792,"30 ml","30 ml",,,"P086","500.00","0.00",true,
7735876747312,"sweet-rum","Sweet Rum",42440552022064,"125ml","125ml",,,"BS-1-1-1","375.00","0.00",true,
7735876649008,"apple-pie","Apple Pie",42440552054832,"125ML","125ML",,,"BS-1-1","375.00","0.00",true,
7735876616240,"silk-vanilla","Silk Vanilla",42440552120368,"125ML","125ML",,,"BS-1","375.00","0.00",true,
7735876583472,"gourmet","Gourmet",42389313486896,"100 ml","100 ml",,,"SF-081","2100.00",,false,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/IMG_7982-1-scaled.jpg?v=1757237362"
7735876583472,"gourmet","Gourmet",42389313519664,"50 ml","50 ml",,,"SF-081","1250.00","0.00",false,
7735876583472,"gourmet","Gourmet",42389313552432,"30 ml","30 ml",,,"SF-081","800.00","0.00",true,
7735876419632,"chocolate-creme","Chocolate Creme",42389312995376,"100 ml","100 ml",,,"SF-077","1250.00","0.00",true,
7735876419632,"chocolate-creme","Chocolate Creme",42389313028144,"50 ml","50 ml",,,"SF-077","750.00","0.00",true,
7735876419632,"chocolate-creme","Chocolate Creme",42389313060912,"30 ml","30 ml",,,"SF-077","450.00","0.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330370096,"30ML / 30ML / 30ML","30ML","30ML","30ML",,"1105.00","1650.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330402864,"30ML / 30ML / 50ML","30ML","30ML","50ML",,"1285.00","1850.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330435632,"30ML / 30ML / 100ML","30ML","30ML","100ML",,"1645.00","2300.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330468400,"30ML / 50ML / 30ML","30ML","50ML","30ML",,"1275.00","1900.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330501168,"30ML / 50ML / 50ML","30ML","50ML","50ML",,"1455.00","2100.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330533936,"30ML / 50ML / 100ML","30ML","50ML","100ML",,"1815.00","2550.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330566704,"50ML / 30ML / 30ML","50ML","30ML","30ML",,"1285.00","1850.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330599472,"50ML / 30ML / 50ML","50ML","30ML","50ML",,"1465.00","2050.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330632240,"50ML / 30ML / 100ML","50ML","30ML","100ML",,"1825.00","2500.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330665008,"50ML / 50ML / 30ML","50ML","50ML","30ML",,"1455.00","2100.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330697776,"50ML / 50ML / 50ML","50ML","50ML","50ML",,"1635.00","2300.00",true,
7735876321328,"layering-30-ml-bundle","Layering bundle",42418330730544,"50ML / 50ML / 100ML","50ML","50ML","100ML",,"1995.00","2750.00",true,
7735876223024,"coffee-vanilla","Coffee Vanilla",42389312471088,"100 ml","100 ml",,,"SF-074","1150.00",,false,
7735876223024,"coffee-vanilla","Coffee Vanilla",42389312503856,"50 ml","50 ml",,,"SF-074","750.00",,true,
7735876223024,"coffee-vanilla","Coffee Vanilla",42389312536624,"30 ml","30 ml",,,"SF-074","550.00",,true,
7735876190256,"layering-apple","Layering Apple",42389312405552,"50 ml","50 ml",,,"SF-073","650.00",,true,
7735876190256,"layering-apple","Layering Apple",42389312438320,"30 ml","30 ml",,,"SF-073","450.00",,true,
7735876059184,"caramel-vanigliato","Caramel vanigliato",42389312045104,"100 ml","100 ml",,,"SF-070","1550.00","0.00",false,
7735876059184,"caramel-vanigliato","Caramel vanigliato",42389312077872,"50 ml","50 ml",,,"SF-070","850.00",,true,
7735876059184,"caramel-vanigliato","Caramel vanigliato",42389312110640,"30 ml","30 ml",,,"SF-070","550.00",,true,
7735875829808,"luna-di-roma","Luna Di Roma",42389311488048,"50 ml","50 ml",,,"SL-012","600.00","0.00",true,
7735875797040,"coco-woods","Coco Woods",42389311455280,"30 ml","30 ml",,,"SF-069","850.00",,true,
7735875797040,"coco-woods","Coco Woods",42389311422512,"50 ml","50 ml",,,"SF-069","1300.00",,true,
7735875797040,"coco-woods","Coco Woods",42389311389744,"100 ml","100 ml",,,"SF-069","2300.00",,true,
7735875731504,"soul-poudree","Soul Poudree",42621716856880,"100","100",,,"SL-010","1050.00",,false,
7735875731504,"soul-poudree","Soul Poudree",42389311291440,"50 ml","50 ml",,,"SL-010","600.00","0.00",true,
7735875731504,"soul-poudree","Soul Poudree",42389311324208,"30 ml","30 ml",,,"SL-010","400.00","0.00",true,
7735875600432,"iris-elixir","Iris elixir",42389311062064,"100 ml","100 ml",,,"SL-006","1350.00",,false,
7735875600432,"iris-elixir","Iris elixir",42389311094832,"50 ml","50 ml",,,"SL-006","850.00",,false,
7735875502128,"hot-male","Hot Male",42389310898224,"50 ml","50 ml",,,"SL-003","800.00","0.00",true,
7735875502128,"hot-male","Hot Male",43006254972976,"100 ml","100 ml",,,"SL-003","1250.00",,false,
